bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,month_sold,location_cluster,price
3,2.0,7.31986492980897,43560,1.0,0,0,3,7,7.31986492980897,0,460418.6527442526,530484.3219776907,707984.7104607035,7.630461261783627,67756,559342.888372093,639000.8152158383,450000.0
3,2.5,7.585788821732034,106722,1.0,0,4,3,9,7.585788821732034,0,519221.5281757675,530484.3219776907,317907.32123919635,7.975908360165538,101494,551860.3387458007,359585.48829615087,599950.0
3,2.0,7.272398392570047,7210,1.0,0,0,3,8,7.272398392570047,0,513178.4964373225,530484.3219776907,332507.4470992653,7.438383530044307,7245,561119.2484076433,313353.9572800608,210000.0
3,1.0,6.907755278982137,5100,1.0,0,0,3,7,6.756932389247553,140,535180.9152282107,530484.3219776907,622928.2574468085,6.907755278982137,5100,538925.3765020027,608172.8260353961,425000.0
4,2.75,7.8709295967551425,7001,2.0,0,0,3,8,7.8709295967551425,0,541925.5924235753,530484.3219776907,445454.66541160486,7.8709295967551425,6543,540889.7483994878,410136.15918944305,499990.0
3,1.0,7.478734825567875,5720,1.5,0,0,4,7,7.038783541388542,630,645615.960266449,530484.3219776907,423905.3309613916,7.313220387090301,4406,561119.2484076433,437957.3324324325,373000.0
4,2.5,7.52294091807237,5388,2.0,0,0,3,8,7.52294091807237,0,496329.36876341386,530484.3219776907,364647.0281124498,7.668561108015897,5086,540889.7483994878,346870.1444920982,328000.0
2,1.0,6.84587987526405,6000,1.0,0,0,2,7,6.84587987526405,0,460418.6527442526,530484.3219776907,306608.3959349877,7.5443321080536885,8547,538925.3765020027,380565.7282610303,246500.0
3,1.75,7.222566018822171,10866,1.0,0,0,4,6,7.222566018822171,0,446374.5537673654,530484.3219776907,648332.8574561403,7.365180126021013,14250,540234.0233614536,615367.3426034852,225000.0
3,2.5,7.598399329323964,1483,3.0,0,0,3,8,7.473069088032197,235,560603.4142857143,530484.3219776907,929411.046337002,7.326465613840322,1173,540234.0233614536,887472.7131782946,505000.0
3,2.5,7.886081401775745,10928,2.0,0,0,3,9,7.512071245835466,830,553665.8256541081,530484.3219776907,856784.4329896907,7.937374696163295,10025,540889.7483994878,794880.1519871815,768000.0
5,2.75,7.832014180505469,18625,1.0,0,0,3,8,7.414572881350589,860,447373.468996527,530484.3219776907,1343776.1244068546,8.006367567650246,16624,551860.3387458007,1677134.051214756,1050000.0
3,1.75,7.22983877815125,7350,1.0,0,0,3,7,6.897704943128636,390,467736.79498639336,530484.3219776907,314115.60175054707,7.414572881350589,8400,559342.888372093,288806.56487379165,195000.0
5,3.0,7.605890001053122,7264,1.0,0,0,3,7,7.162397497355718,720,564109.3481478157,530484.3219776907,585504.4834710744,7.31986492980897,7326,520155.3623559539,474195.4477190849,465000.0
3,1.5,7.473069088032197,6723,1.0,0,0,3,7,7.05617528410041,600,458268.3401256494,530484.3219776907,423224.8489208633,7.640123172695364,8965,561119.2484076433,416266.0025641026,470000.0
3,2.0,7.286191714702382,7740,1.0,0,0,3,7,7.286191714702382,0,465643.9528301972,530484.3219776907,300497.6749153118,7.3395376954076745,7644,540234.0233614536,292686.8318304875,225000.0
3,1.75,7.31986492980897,15744,1.0,0,0,3,7,7.31986492980897,0,519221.5281757675,530484.3219776907,445454.66541160486,7.293017679772782,15744,549106.0373514431,412488.53038950963,330000.0
4,2.5,7.820037989458753,11650,1.0,0,0,3,7,7.237059026124737,1100,564109.3481478157,530484.3219776907,306608.3959349877,7.605890001053122,10495,540234.0233614536,416010.4390401716,270000.0
2,2.0,7.387090235656757,4590,1.5,0,0,5,8,7.387090235656757,0,687023.3877981899,530484.3219776907,585504.4834710744,7.293017679772782,4590,525404.6872322194,549135.2427440634,665000.0
2,1.0,6.824373670043086,5000,1.0,0,0,4,6,6.194405391104672,430,470061.476880327,530484.3219776907,585504.4834710744,7.313220387090301,5000,525404.6872322194,474195.4477190849,280300.0
3,2.25,7.512071245835466,8831,1.0,0,0,3,7,7.286191714702382,370,481182.637681609,530484.3219776907,534045.3798076923,7.753623546559746,8064,508272.0541082164,561410.3447098681,431000.0
4,3.75,8.122668023346407,6766,2.0,0,0,3,9,8.122668023346407,0,560603.4142857143,530484.3219776907,648332.8574561403,8.169053149927343,6766,525404.6872322194,671892.8182954505,800000.0
3,1.75,7.293017679772782,4950,1.0,0,0,3,7,6.937314081223682,440,576006.5651782893,530484.3219776907,387114.1483375959,7.003065458786462,5250,549106.0373514431,379580.3383269202,459500.0
3,1.75,7.299797366758161,4800,2.0,0,0,4,7,7.038783541388542,340,346777.58531654056,530484.3219776907,790006.7768692325,7.501082124259871,4800,549106.0373514431,790006.7768692325,585000.0
4,1.75,7.795646536334594,5481,1.0,0,0,3,8,7.265429723253953,1000,503112.49947617564,530484.3219776907,353025.64590306446,7.6255950721324535,5508,540889.7483994878,535480.5531914893,402000.0
3,1.0,7.27931883541462,7200,1.0,0,0,3,7,6.917705609835305,440,417829.8221964997,530484.3219776907,534045.3798076923,7.313220387090301,6767,549106.0373514431,456800.6171503361,306000.0
3,1.5,7.1853870155804165,7560,1.0,0,0,3,6,6.733401891837359,480,513178.4964373225,530484.3219776907,425344.3136037135,7.098375638590786,7560,508272.0541082164,423339.13078594394,325000.0
4,2.5,7.731930721948486,4602,2.0,0,0,3,8,7.731930721948486,0,553569.0091185404,530484.3219776907,787721.3156018015,7.731930721948486,4193,540889.7483994878,653232.9047665199,565000.0
2,1.0,6.721425700790643,4045,1.0,0,0,3,6,6.721425700790643,0,336294.97163894534,530484.3219776907,323529.23106608837,7.003065458786462,4116,549106.0373514431,272273.5147542107,150000.0
4,2.5,8.016317898503415,7864,2.0,0,0,3,9,8.016317898503415,0,645456.0179648161,530484.3219776907,692306.6178160912,7.933796874815411,7034,559342.888372093,671331.5983352674,685000.0
3,1.0,7.795646536334594,10720,1.0,0,0,3,7,7.795646536334594,0,491435.82012195326,530484.3219776907,445454.66541160486,7.414572881350589,11560,538925.3765020027,410136.15918944305,369950.0
3,3.25,7.22983877815125,1225,3.0,0,0,3,7,7.22983877815125,0,696470.1816004473,530484.3219776907,387114.1483375959,7.22983877815125,1704,540234.0233614536,553781.5115816655,322000.0
3,1.75,7.867105500316739,117176,1.0,0,0,3,7,7.237059026124737,1220,467736.79498639336,530484.3219776907,317907.32123919635,7.668561108015897,142005,540234.0233614536,359585.48829615087,378000.0
1,0.0,6.396929655216146,24501,1.0,0,0,2,3,6.396929655216146,0,484729.09882168256,530484.3219776907,445454.66541160486,6.897704943128636,22549,511224.339301701,410136.15918944305,280000.0
